POS	Beskrivelse
adj.	Adjektiv beskriver hvordan noe eller noen er eller ser ut, for eksempel farge eller størrelse
subst.	Substantiv er navneord på personer, dyr, ting og abstrakte forhold, for eksempel beana 'hund' og ráhkisvuohta 'kjærlighet'.
egennavn. 	Egennavn er type substantiv som  markerer navn på personer, sted eller organisasjon.For eksempel: Romsa, 'Tromsø', Eva, Statoil.
verb	Verb er gjøreord som forteller hva som gjøres eller skjer, for eksempel boahtit 'å komme', lávlut 'å synge'.
pers. pron.	Personlige pronomen er ord som kan stå i stedet for navn på mennesker og ting, for eksempel mun 'jeg', 
påpek.pron.	 Påpekende pronomen brukes når man refererer til noe man ser, eller ting som er forstått i konteksten. For eksempel dat 'det', dát 'dette/denne'.
rel.pron.	Relative pronomen brukes i relative setninger. For eksempel gii 'hvem' og 'som'.
resipr.pron.	Resiproke pronomen kan oversettes med 'hverandre'. For eksempel goabbat guoibmáḿe 'hverandre', nubbi nuppiin 'med hverandre'.
refl.pron.	Refleksive pronomen viser til subjektet i setningen. For eksempel ieš 'selv' i setningen Mun lean ieš dan dahkan 'Jeg har gjort det selv'.
postp.	Postposisjoner er ord som står etter nomenet. De har som oftest tids- eller stedsbetydning. For eksempel: vuollái 'under' i beavdde vuollái 'under bordet' og maŋŋel 'etter' i hárjehallama maŋŋel 'etter treningen'.
prep.	Preposisjoner er ord som står foran nomenet. De har som oftest tids- eller stedsbetydning. For eksempel: ovdal 'før' i ovdal barggu 'før arbeid' og badjel 'over' i badjel luotta 'over veien'.
adv.	Adverb er ord som forteller hvor, når og hvordan en handling inntreffer. For eksempel: olgun 'ute', ihttin 'i morgen', hirbmat 'veldig'.
konj.	Konjunksjoner er ord som binder sammen ledd av samme type. For eksempel: dahje 'eller', muhto 'men'.
subj.	Subjunksjoner er ord som knytter bisetningen til hovdesetningen. For eksempel: jus 'hvis' og de 'så' i Jus asttan, de boađán 'Hvis jeg har tid så kommer jeg'.
part.	Partikler er ubøyelige småord som brukes både i fortellende og spørrende setninger. For eksempel: go son 'mon tro', nai 'også'.
num. 	Tallord er ord som forteller hvor mange ting uttrykket refererer til. For eksempel: okta , guokte, golbma, 'en, to, tre'.
