
ahkásaš	ahkásaš+A
albmaládje	albma#ládje+Adv
alihastit	alihastit+V
amma	amma+Pcle
ammahal	ammahal+Pcle
analyseret	analyseret+V
badjelaš	badjelaš+Po
badjelaš	badjelaš+Pr
bagadallat	bagadallat+V
bagadallat	bagadit+V
bahkkehit	bahkkehit+V
bahkkehit	bahkket+V
bajábeallái	bajá#bealli+N
bajábeallái	bajá#beallái+Po
bajábeallái	bajá#beallái+Pr
baldalit	baldalit+V
ban	ban+Pcle
beali	beali+Po
beali	bealli+N
bealle	bealle+Adv
bealle	bealle+N
beallejámas	bealle#jámas+Adv
biggot	bieggat+V
biggot	biggohit+V
biggot	biggot+V
bivdalit	bivdalit+V
biškkádit	biškkádit+V
bláđet	bláđedit+V
bláđet	bláđet+V
boaluhit	boallu+N
boaluhit	boaluhit+V
boarásnuvvat	boarásnuvvat+V
bogostallat	boagustit+V
bogostallat	bogostallat+V
boruheapme	boruheapme+A
bosodit	bosodit+V
bosodit	bossut+V
bosádit	bosádit+V
botniheapme	bodni+N
botniheapme	botniheapme+A
bumbet	bumbet+V
buokčat	buokčat+V
buođđut	buođđudit+V
buođđut	buođđut+V
buvttehit	buvttehit+V
bálddalaga	bálddalaga+Adv
bárgut	bárgut+V
ceggestit	ceggestit+V
ceggestit	cegget+V
cibmut	cibmut+V
civkkádit	civkkádit+V
dadjalit	dadjalit+V
dadjalit	dadjat+V
dakka	dakka+Adv
darvvihit	darvi+N
darvvihit	darvit+V
darvvihit	darvvihit+V
davábealde	davá#bealde+Adv
davábealde	davá#bealde+Po
davábealde	davá#bealde+Pr
davábeallái	davá#bealle+N
davábeallái	davá#bealli+N
davábeallái	davá#beallái+Po
davábeallái	davá#beallái+Pr
dette	dette+Adv
diekko	diekko+Adv
dievihit	dievihit+V
divodit	divodit+V
divodit	divvut+V
doaškit	doaškit+V
dobbelaš	dobbelaš+A
dolkadit	dolkadit+V
dollestit	dollestit+V
dollestit	dollet+V
dovddiidit	dovddiidit+V
dovdot	dovdat+V
dovdot	dovdot+V
