alvvaheapme	1. energiløs;  
hatteheapme	1. med dårlig pris;  
bargguheapme	1. arbeidsløs;  
oassádalli	1. deltakende;  
doaibmi	1. aktiv, virkende;  
gilvvihahtti	1. dyrkbar;  
riektenuppástuhtti	1. rettsendrende;  
asfáltái	1. asfaltrik;  
ahccil	1. rask;  
spáitil	1. effektiv;  
mearkkašmeahttun	1. betydningsløs;  
oktageardán	1. enkel;  
ahppar	1. overdreven;  
gorrálas	1. proporsjonal;  
garppas	1. uvøren;  
gáiddus	1. fjerntliggende;  
gáppus	1. nifs, uhyggelig;  
mihtus	1. dissenterende;  
boaggejuolggat	1. hjulbeint;  
máŋggasuorat	1. flerdelt;  
máškit	1. fleksibel;  
bargonávccalaš	1. arbeidsfør;  
fágalaš	1. faglig;  
báktefágalaš	1. bergverksfaglig;  
doaresfágalaš	1. tverrfaglig;  
etymologiijalaš	1. etymologisk;  
skihkalaš	1. ordensmessig;  
riektepolitihkalaš	1. rettspolitisk;  
formálalaš	1. formell;  
doaimmalaš	1. foretaksom, aktiv;  
bienalaš	1. detaljert;  
konsešuvnnalaš	1. konsesjonær;  
oppalaš	1. generell;  
allegoralaš	1. allegorisk;  
ovttalaš	1. enhetlig;  
luonddudieđalaš	1. naturvitenskapelig;  
ruđalaš	1. rik;  
ulbmilaš	1. strategisk;  
báhkinlaš	1. hedensk;  
oiddolaš	1. gunstig;  
álggolaš	1. elementær;  
álolaš	1. godt utseende;  
eallinfámolaš	1. vital;  
oinnolaš	1. distinkt;  
evttolaš	1. betinget;  
molssaevttolaš	1. fakultativ;  
diđolaš	1. bevisst;  
vuođđonjuolggaduslaš	1. forfatningsmessig;  
hálddahuslaš	1. administrativ;  
duođaštuslaš	1. bevislig;  
álbmotlaš	1. folkelig;  
ámmátlaš	1. profesjonell;  2. yrkesmessig;  
riektehistorjjálaš	1. rettshistorisk;  
árjjálaš	1. aktiv rolle;  
ravdamearálaš	1. ytterliggående;  
rievttálaš	1. rettslig;  
ávnnasrievttálaš	1. materiellrettslig;  
álbmotrievttálaš	1. folkerettslig;  
skoválaš	1. skjematisk;  
aktoráđálaš	1. enerådende;  
iešráđálaš	1. egenmektig;  
eahpeáššálaš	1. usaklig;  
aitosaš	1. egentlig;  
geardásaš	1. avleiret;  
boahtteáigásaš	1. fremtidsrettet;  
dološáigásaš	1. arkaisk;  
ahkásaš	1. gammel;  
gaskaahkásaš	1. middelaldrende, oldboys;  2. oldboys;  
ovttaláhkásaš	1. ensartet;  
sorjavaš	1. avhengig;  
áššáigullevaš	1. adekvat;  
vássevaš	1. forbigående;  
gustovaš	1. gjeldende;  
čuovvovaš	1. følgende;  
várveš	1. aktpågivende;  
báhkinlágáš	1. på god vei til å være hedning;  
	
