audiovisuála	1. audiovisuell;  
friddjavuođareive	1. frihetsbrev;  
dáhpáhusvallji	1. dramatisk;  
badjebealli	1. øvre del;  
buorredoaibmi	1. effektiv;  
ođasmahtti	1. fornybar;  
riektenuppástuhtti	1. rettsendrende;  
dienasláhkái	1. ervervmessig;  
ávdinlágan	1. ødemarkspreget;  
eallisuodjalan	1. dyrevernmessig;  
dáččaluvvan	1. fornorsket;  
bargonávccalaš	1. arbeidsfør;  
báktefágalaš	1. bergverksfaglig;  
doaresfágalaš	1. tverrfaglig;  
riektepolitihkalaš	1. rettspolitisk;  
fitnodatekonomalaš	1. bedriftsøkonomisk;  
eallinfámolaš	1. vital;  
molssaevttolaš	1. fakultativ;  
buhtadanevttolaš	1. erstatningsbetingende;  
riektehistorjjálaš	1. rettshistorisk;  
ravdamearálaš	1. ytterliggående;  
buhtadanrievttálaš	1. erstatningsrettslig;  
hálddašanrievttálaš	1. forvaltningsrettslig;  
ávnnasrievttálaš	1. materiellrettslig;  
álbmotrievttálaš	1. folkerettslig;  
báhkinlágáš	1. på god vei til å være hedning;  
	
