friddjavuođareive	1. frihetsbrev;  
badjebealli	1. øvre del;  
osd.	1. avd.;  
siskkáldas-TV	1. internfjernsyn;  
doaba	1. fagord;  
čoavddadoaba	1. nøkkelord;  
fágadoaba	1. fagterm;  
annuitehtadoaba	1. annuitetsbegrep;  
ánnuitehtadoaba	1. annuitetsbegrep;  
áigedoaba	1. tidsbegrep;  
badjedoaba	1. overbegrep;  2. overordnet begrep;  
vuolledoaba	1. underordnet begrep;  
mearridandoaba	1. vedtaksbegrep;  
johtolatdoaba	1. trafikkbegrep;  
nibba	1. spiss;  2. tapp;  3. spuns;  4. kjegle;  5. brystvorte;  
šliipennibba	1. slipestift;  
batninnibba	1. spinnetapp;  
gobba	1. bille;  
dábba	1. underarmsben;  2. margebein;  
nábba	1. knott;  2. spuns;  3. tapp;  4. tretopp;  5. siktekorn;  
bieggaspábba	1. gummiball;  
jápmaspábba	1. dødball;  
eanaspábba	1. jordklode;  
muohtaspábba	1. snøball;  
juolgespábba	1. fotball;  
áibmespábba	1. luftball;  
gorespábba	1. kurvball;  2. basketball;  
galkanspábba	1. sprettball;  
eananspábba	1. jordklode;  
eatnanspábba	1. jordklode;  
čiekčanspábba	1. fotball;  
njuikunspábba	1. hoppeball;  
sáttovolleyspábba	1. sandvolleyball;  
čalbmeliiba	1. hemmelig øyeblikk;  
siiba	1. nett av tråd;  
luoddagalba	1. vegskilt;  
luoddagaskagalba	1. soneskilt;  
nammagalba	1. navneskilt;  
báikenammagalba	1. stedsnavnskilt;  
gáhtagalba	1. gateskilt;  
vuordingeatnegasvuođagalba	1. vikepliktskilt;  
fuolahangalba	1. serviceskilt;  
dieđihangalba	1. opplysningsskilt;  
váruhangalba	1. fareskilt;  
bisánangalba	1. stoppskilt;  
jienastangalba	1. voteringsskilt;  
oahpistangalba	1. opplysningsskilt;  
eretvuodjingalba	1. borttauningsskilt;  2. avkjøringsskilt;  
gohččungalba	1. påbudsskilt;  
gieldogalba	1. forbudsskilt;  
vuodjinjuohkogalba	1. kjørefeltskilt;  
nummargalba	1. nummerskilt;  
čálusgalba	1. tekstskilt;  
johtolatgalba	1. trafikkskilt;  
vuolitgalba	1. underskilt;  
riebansilba	1. kråkesølv;  
duolba	1. flat;  
bomba	1. bombe;  
gámba	1. hovelbenk;  
jámba	1. jambe;  
sroba	1. dråpe;  
vearba	1. verb;  
u-vearba	1. u-verb;  
resiprohkavearba	1. resiproverb;  
kopulavearba	1. kopulverb;  
modálavearba	1. modulverb;  
habituálavearba	1. habitualverb;  
progrešuvdnavearba	1. progresjonsverb;  
finihttavearba	1. finittverb;  
infinihttavearba	1. infinitt verb;  
passiivavearba	1. passivverb;  
kuratiivavearba	1. kurativverb;  
detransitiivavearba	1. detransitivt verb;  
intransitiivavearba	1. intransitivt verb;  
advearba	1. adverb;  
orientašuvdnaadvearba	1. orienteringsadverb;  
proadvearba	1. proadverb;  
oaivevearba	1. hovedverb;  
bárahisstávvalvearba	1. ulikestava verb;  
gieldinvearba	1. nektingsverb;  
konvearba	1. konverb;  
virba	1. stående stav i høystakk;  2. stativ i forrådsstillaset;  
árba	1. arr;  
puba	1. pub;  
gába	1. selvstendig kvinne;  
loahcca	1. mannslue uten fyll i pullen;  2. gammel og utslitt mannslue;  
suorbmafáhcca	1. hanske;  2. fingervante;  
hearvafáhcca	1. pyntevott;  
čikŋafáhcca	1. pyntet vott;  2. penvott;  3. vott til høytidsdrakt;  
spieldderfáhcca	1. badesvamp;  2. vaskesvamp;  
cahca	1. eid mellom to vann;  2. tørt stykke land mellom to myrer;  3. is mellom to råker;  4. grunt sted over elv;  5. isbrem;  
lahca	1. knepp;  2. knirk;  
goahca	1. friksjon;  
ovdačahca	1. forreste tverrtre på bjelke;  
gaskačahca	1. mellomste tverrtre i båt;  
maŋŋečahca	1. det bakerste tverrtre på slede og kjelke;  
gielkáčahca	1. tverrtre på slede;  
smiehca	1. knas;  2. knak;  3. knakende lyd;  
gihca	1. rasling;  
coica	1. tett snøføkk;  2. tett røyk;  3. snøsky;  4. røyksky;  
soica	1. snøføyke;  2. røyksky;  3. ryking;  
cuokca	1. sagn;  2. myte;  3. eventyr;  
cukca	1. anekdote;  
jukca	1. velling;  
loahppelákca	1. seterrømme;  
gehppesloahppelákca	1. lettrømme;  
gehppeslákca	1. lettfløte;  
áššemeannudeaddjenákca	1. saksbehandlerskraft;  
vuostenákca	1. motstandsevne;  
čalgadannákca	1. forklaringskraft;  
buvttadannákca	1. produksjonskapasitet;  
árvvoštallannákca	1. dømmekraft;  
oahppannákca	1. læringskapasitet;  
luovvannákca	1. ledighetskapasitet;  
hábmennákca	1. kreativitet;  2. skapelseskraft;  
rentennákca	1. rentabilitet;  
ollislašrentennákca	1. totalrentabilitet;  
guoddinnákca	1. bæreevne;  
máksinnákca	1. likviditet;  
ovdinbuktinnákca	1. formidlingsevne;  
vuostálastinnákca	1. motstandsevne;  
oastinnákca	1. kjøpekraft;  
guollebivdonákca	1. fangstkapasitet;  
vearronákca	1. skatteevne;  
dienasnákca	1. inntjeningsevne;  
bissonjalca	1. slitt børse;  
nalca	1. stump;  2. stubb;  
čoarvenalca	1. hornstubb;  
lávženalca	1. tømmetamp, tampen av en tøm;  
gulca	1. verdiløs kniv;  
fanca	1. båt;  
suhkkivanca	1. robåt;  
nygaardsvollvanca	1. nygaardsvollbåt;  
mášinvanca	1. motorbåt;  
borjjasvanca	1. seilbåt;  
kvárca	1. kvarts;  
madda	1. stykke av reinhornets stamme mellom to greiner;  
ovdamadda	1. forstykke av todelt skallebunn;  
badjemadda	1. stykke av stamme på reinhorn;  
vuollemadda	1. rotstamme på reinhorn;  
maŋŋemadda	1. bakre stykke av en todelt skallebunn;  
snaidda	1. ringsel;  
láiberidda	1. kakerist;  
muorradáidda	1. trekunst;  
nuohttadáidda	1. notekunst;  
govvadáidda	1. bildekunst;  
báktedáidda	1. steinkunst;  
lihkadandáidda	1. bevegelseskunst;  
máinnastandáidda	1. fortellerkunst;  
huksendáidda	1. byggekunst;  
seksváidda	1. sexanklager;  
gealdda	1. spenning;  
ovdagealdda	1. forspenning;  
dávgegealdda	1. fjærspenning;  
fierbmegealdda	1. nettspenning;  
guorusnatgealdda	1. tomgangsspenning;  
gieldda	1. forbud;  
goldda	1. drivgarnlenke;  
lodda	1. lodd;  2. vektlodd;  
betoŋgaluodda	1. betongveg;  
gáljaluodda	1. glatt kjørebane;  
fylkkaluodda	1. fylkesveg;  
biilaluodda	1. bilveg;  
meahccebiilaluodda	1. skogsbilvei;  
radiálaluodda	1. radialveg;  
kommunikašuvdnaluodda	1. kommunikasjonsveg;  
čievraluodda	1. grusveg;  
asfáltaluodda	1. asfaltert veg;  
meahcceluodda	1. skogsveg;  
ruovdeluodda	1. jernbane;  
oalgeluodda	1. sideveg;  
lohteluodda	1. kilspor;  
gililuodda	1. bygdeveg;  
jieŋamielluodda	1. isveg;  
sykkelluodda	1. sykkelveg;  
goahcanluodda	1. bremsespor;  
suohkanluodda	1. kommunal veg;  
iskanluodda	1. testveg;  
čoahkkananluodda	1. oppsamlingsveg;  
riidenluodda	1. rideveg;  
njulgenluodda	1. snarveg;  
sveisenluodda	1. sveisefuge;  
sisavuodjinluodda	1. innkjørselsvei;  
eretvuodjinluodda	1. avkjørsel;  
sisaboahtinluodda	1. innfartsvei;  
čađajohtinluodda	1. gjennomfartsveg;  
garvinluodda	1. omkjøringsvei;  
vázzinluodda	1. gangveg;  
váldoluodda	1. hovedveg;  
gierdoluodda	1. ringveg;  
njuolggoluodda	1. direktevei;  
vuovdebargoluodda	1. tømmerveg;  
duolloluodda	1. tollveg;  
dálloluodda	1. gårdsveg;  
rámšoluodda	1. ujevn veg;  
buođđoluodda	1. demningsveg;  
gávpotmohtorluodda	1. motorveg;  
gieresluodda	1. pulkspor;  
geasáhatluodda	1. spor etter noe som er trukket;  
seahkálajohtolatluodda	1. alltrafikkveg;  
guovlluluodda	1. regionalveg;  
dihkkáluodda	1. vintervei;  2. vei merket med stikker;  
geardda	1. tvinning;  2. pyntebånd;  3. tvinning av garn;  
boardda	1. trapp;  
áitteboardda	1. stabburstrapp;  
juvlastuolloboardda	1. rullestoltrapp;  
goardda	1. sterk varme;  
moardda	1. forbindelse mellom tauet og garnet eller nota;  
čavgamoardda	1. garnforbindelse;  
sirdda	1. kortere flytting;  2. innflytter;  
vuordda	1. person som er ventet;  2. noe som er ventet;  
durdda	1. søl;  2. søle;  
bátnedurdda	1. tannstein;  
fáhkkajurdda	1. impuls;  
loahppajurdda	1. resonnement;  
gávpejurdda	1. kjøpelyst;  
nállevealahanjurdda	1. rasistisk prinsipp;  
vuođđojurdda	1. ideologi;  2. prinsipp;  
gaskaneasvuođđojurdda	1. gjensidighetsprinsipp;  
várdda	1. fotrot;  
judda	1. jodløsning;  
rudda	1. mat;  2. matrett med mange ingredienser;  
guollerudda	1. fiskelapskaus;  
biergorudda	1. kjøttlapskaus;  
deavdda	1. input;  2. fyll;  
luoddadeavdda	1. vegdekke;  
čoavjedeavdda	1. magefyll;  2. vomfyll;  
gáhkkodeavdda	1. kakefyll;  
gavdda	1. isskorpe;  
ovdaloavdda	1. forheng;  
goahtebealloavdda	1. teltduk;  2. duk som dekker halve lavvoen;  
loktenloavdda	1. løfteseil;  
oađđenloavdda	1. sovedekke;  2. soveteppe;  
vilgesloavdda	1. hvit teltduk;  
pluggačoavdda	1. pluggnøkkel;  
molssačoavdda	1. skiftenøkkel;  
momeantačoavdda	1. momentnøkkel;  
nuohttačoavdda	1. notenøkkel;  
arkiivačoavdda	1. arkivnøkkel;  
sruvačoavdda	1. skrunøkkel;  
roahkkečoavdda	1. hakenøkkel;  
