abmet	1. skrike;  
addjot	1. bli nedsnedd;  
adnot	1. uttømme;  
ahtanuššat	1. utvikle seg;  
aiddostahttit	1. presisere;  
albmadit	1. melde til øvrigheten;  
aldat	1. våge å nærme seg;  
alfabehtadit	1. ordne alfabetisk;  
alidit	1. forhøye;  
almmustahttit	1. avdekke;  
almmáskit	1. bli snøvær;  
anašit	1. ha samleie;  
ađahuvvat	1. bli mager;  
ađaiduvvat	1. bli fetere;  
bagadallat	1. gi detaljert beskjed;  
bahtit	1. søke til et ensomt sted;  
bahttát	1. sette avsted;  
bajálastit	1. gi mellomlegg ved bytting;  
bajásdoallat	1. forsørge;  
barggastuvvat	1. ha arbeidslyst;  
bargguhuvvat	1. bli arbeidsløs;  
beaivádit	1. datere;  
bealuštit	1. forfekte;  2. ta part;  
bearrat	1. innkreve;  
bearráigohcit	1. føre tilsyn;  
behtostit	1. kaste med pinne;  
beitot	1. bli uten fangst;  
biddjet	1. kjøpe på auksjon;  
bieggaladdat	1. blåse;  
biekkadit	1. holde på å blåse så smått;  
biekkahaddat	1. bli overfalt og oppholdt av vind;  
biekkahit	1. la det blåse;  
biekkastit	1. begynne å blåse;  
bierggastit	1. møblere;  
biertnástaddat	1. leke;  
bievlat	1. bli barmark;  
bievvalastit	1. halshugge;  
biggehaddat	1. bli liggende værfast;  
bigget	1. bygge;  
bihcudit	1. gjøre at noe blir rimbelagt;  
bihcut	1. bli rimbelagt;  
bihkkaduvvot	1. bli tjærebredd;  
biigostit	1. gjøre piketjeneste;  
bijahallat	1. få i oppdrag;  
bilaidit	1. tindre;  
bildadit	1. legge noe på stillas;  
bilgádit	1. flette sennegressknipper;  
billostaddat	1. leke med bjeller;  
binnudit	1. redusere;  
birccostit	1. en gang kaste terning;  
birccustit	1. spille terningspill;  
bircut	1. kaste terninger;  
birračuohppat	1. omskjære;  
bissostit	1. gå på jakt;  
bisuhit	1. beholde;  
bivaldaddat	1. flere ganger bli mildere i været;  
bivastuddat	1. svette oftere;  
bivastustit	1. svette litt;  
bivdaruššat	1. opptre som jeger;  
bivdot	1. bli jaktet på;  
bivdáladdat	1. jakte;  
bivssastit	1. slå ned på;  
biđđit	1. varme litt i gryte;  
bleahkahuvvat	1. bli tilsølt med blekk;  
bláđet	1. bla;  
boalggahaddat	1. forårsake at noen blir ille omtalt;  
boalohaddat	1. drive laksefiske;  
boalváruššat	1. drive smughandel;  
boarskudit	1. være i knipe;  
boazohuvvat	1. bli fattig på rein;  
boazuiduvvat	1. bli rik på rein;  
boazzuhuhttit	1. grade;  
bohccostaddat	1. leke rein;  
bohkket	1. gjøre innsnitt på;  
bohtarastit	1. heve;  
bolohastit	1. feste grime på;  2. fiske med drivgarn;  
bontet	1. false;  
boret	1. reparere;  
borgaladdat	1. fyke;  
borggadit	1. fyke i lengre tid;  
borgádit	1. lide et svært tap;  2. skifte hår;  
borjjastallat	1. seile;  
borralit	1. spise;  
boruhuvvat	1. miste matlysten;  
botkalit	1. strø;  
botkkiidit	1. begynne å kaste frø;  
botkkodit	1. slite løs;  
botkkuhit	1. sne;  
buddet	1. gro;  2. kante klær;  3. sette synkestein;  4. vise ansats til nyhorn;  
buddostaddat	1. bruke økenavn;  
buddáduvvat	1. bli forgjeldet;  
buhtadit	1. kompensere;  2. refundere;  
buhttejuvvot	1. erstattes;  
buikkihit	1. smyge;  
buitit	1. ro;  
bumpet	1. pumpe;  
buohtalastit	1. sideordne;  2. sidestille;  
buolaštit	1. sette i med kulde;  
buorádahttit	1. forbedre;  2. bli godvær;  
buozahit	1. plages;  
buozastit	1. være syk en kort tid;  
buoššodit	1. herde;  
buođđut	1. sperre;  
buvttadit	1. produsere;  
buzzet	1. sprette;  
báddet	1. ta opp på bånd;  
báddádaddat	1. venne dyr til å stå bundet;  
bággolotnut	1. ekspropriere;  
báhkadit	1. varme opp;  
báhkkodit	1. ta til orde, uttrykke;  
báikut	1. røske litt reinlav;  
báitot	1. gå i offside;  
bájuhit	1. referere, sitere;  
bántet	1. pante;  
bárket	1. barke;  
bársat	1. stoppe strikkeplagg;  
bátnádit	1. berøre en gevekst;  
bázahit	1. etterlate;  
cábadit	1. makulere;  
dadjalit	1. replisere;  
daguhit	1. overdra;  
darvvihit	1. stifte;  
davrat	1. krølle seg i gryta;  
deaddelit	1. klikke;  
deahpanit	1. deformere;  
deaimmáskit	1. svime av;  
dearbbadit	1. pendle;  
dearpalit	1. klubbe;  
deattastit	1. stryke under;  
