nirvonárvohallat	1. utføre grimaser;  
ávkkárduvvat	1. dra nytte;  
lássahuvvat	1. blokkere seg;  
stenográfet	1. stenografere;  
vakuumdovdnjet	1. vakuumpakke;  
njurjet	1. fange sel;  
revlet	1. revle;  
kollašuneret	1. kollasjonere;  
rašuneret	1. rasjonere;  
stašuneret	1. stasjonere;  
kondišuneret	1. kondisjonere;  
posišuneret	1. posisjonere;  
frakšuneret	1. fraksjonere;  
perfekšuneret	1. perfeksjonere;  
sekšuneret	1. seksjonere;  
funkšuneret	1. funksjonere;  
dimenšuneret	1. dimensjonere;  
mošuneret	1. mosjonere;  
poršuneret	1. porsjonere;  
proporšuneret	1. proporsjonere;  
kaušuneret	1. kausjonere;  
revolušuneret	1. revolusjonere;  
refleksefiseret	1. refleksefisere;  
denašunaliseret	1. denasjonalisere;  
operašunaliseret	1. operasjonalisere;  
formáliseret	1. formalisere;  
eksplisiteret	1. eksplisitere;  
seksdebuteret	1. seksdebutere;  
sudjadit	1. begrunnet;  
krommadit	1. forkromme;  
guollenjaddit	1. ha fiskesmak;  
lovkidit	1. fornærme;  
háldogáržžidit	1. båndlegge;  
garrajugahit	1. hardlodde;  
velggohit	1. gi kreditt;  
filtarastit	1. filtrere;  
movttidahttit	1. inspirere;  
čuoččaldahttit	1. anlegge;  
áššečuoččaldahttit	1. reise søksmål;  
vuogádahttit	1. systematisere;  
árvogierragahttit	1. verdimakismere;  
vuoigaduhttit	1. berettige;  
áššásskuhttit	1. anklage;  
smievrut	1. mørne;  
	
